,Years,Timesteps,Region,Carrier,Value
458,Y7,3,reg2,Final_electricity,12128.95071165795
459,Y7,4,reg2,Final_electricity,13449.568274180387
460,Y7,5,reg2,Final_electricity,14429.382896257448
461,Y7,6,reg2,Final_electricity,16459.1242075271
462,Y7,7,reg2,Final_electricity,20115.520429330645
463,Y7,8,reg2,Final_electricity,14762.782707615288
464,Y7,9,reg2,Final_electricity,0.0
465,Y7,10,reg2,Final_electricity,0.0
466,Y7,11,reg2,Final_electricity,0.0
467,Y7,12,reg2,Final_electricity,0.0
468,Y7,13,reg2,Final_electricity,0.0
469,Y7,14,reg2,Final_electricity,0.0
470,Y7,15,reg2,Final_electricity,0.0
471,Y7,16,reg2,Final_electricity,0.0
472,Y7,17,reg2,Final_electricity,9238.967565098828
473,Y7,18,reg2,Final_electricity,24095.93248771677
474,Y7,19,reg2,Final_electricity,30365.513762572085
475,Y7,20,reg2,Final_electricity,32009.155659057556
476,Y7,21,reg2,Final_electricity,27831.054059048445
477,Y7,22,reg2,Final_electricity,18609.59226665859
478,Y7,23,reg2,Final_electricity,13263.76887032676
479,Y7,24,reg2,Final_electricity,13092.967136039166
480,Y8,1,reg2,Final_electricity,16654.78056537734
481,Y8,2,reg2,Final_electricity,17884.645779548235
482,Y8,3,reg2,Final_electricity,16681.525969434253
483,Y8,4,reg2,Final_electricity,18249.32141832203
484,Y8,5,reg2,Final_electricity,19415.775866325526
485,Y8,6,reg2,Final_electricity,21827.258248859915
486,Y8,7,reg2,Final_electricity,26134.208367538627
487,Y8,8,reg2,Final_electricity,19585.441431707186
488,Y8,9,reg2,Final_electricity,0.0
489,Y8,10,reg2,Final_electricity,0.0
490,Y8,11,reg2,Final_electricity,0.0
491,Y8,12,reg2,Final_electricity,0.0
492,Y8,13,reg2,Final_electricity,0.0
493,Y8,14,reg2,Final_electricity,0.0
494,Y8,15,reg2,Final_electricity,0.0
495,Y8,16,reg2,Final_electricity,0.0
496,Y8,17,reg2,Final_electricity,13118.365319513816
497,Y8,18,reg2,Final_electricity,30972.606342367013
498,Y8,19,reg2,Final_electricity,38327.0258788627
499,Y8,20,reg2,Final_electricity,40226.65426427712
500,Y8,21,reg2,Final_electricity,35260.70698739938
501,Y8,22,reg2,Final_electricity,24348.502152213183
502,Y8,23,reg2,Final_electricity,17980.28192953518
503,Y8,24,reg2,Final_electricity,17781.050500978567
504,Y9,1,reg2,Final_electricity,21274.36911334584
505,Y9,2,reg2,Final_electricity,22695.666221342166
506,Y9,3,reg2,Final_electricity,21309.249610317183
507,Y9,4,reg2,Final_electricity,23125.681276649528
508,Y9,5,reg2,Final_electricity,24479.577891205434
509,Y9,6,reg2,Final_electricity,27274.88460228118
510,Y9,7,reg2,Final_electricity,32239.335795954124
511,Y9,8,reg2,Final_electricity,24505.33852811468
512,Y9,9,reg2,Final_electricity,0.0
513,Y9,10,reg2,Final_electricity,0.0
514,Y9,11,reg2,Final_electricity,0.0
515,Y9,12,reg2,Final_electricity,0.0
516,Y9,13,reg2,Final_electricity,0.0
517,Y9,14,reg2,Final_electricity,0.0
518,Y9,15,reg2,Final_electricity,0.0
519,Y9,16,reg2,Final_electricity,0.0
520,Y9,17,reg2,Final_electricity,17133.88742514308
521,Y9,18,reg2,Final_electricity,37863.665865883486
522,Y9,19,reg2,Final_electricity,46384.20086172378
523,Y9,20,reg2,Final_electricity,48498.2402459071
524,Y9,21,reg2,Final_electricity,42788.17144961149
525,Y9,22,reg2,Final_electricity,30124.173587221496
526,Y9,23,reg2,Final_electricity,22821.543661385076
527,Y9,24,reg2,Final_electricity,22615.33575350406
528,Y10,1,reg2,Final_electricity,21850.98770924722
529,Y10,2,reg2,Final_electricity,23380.26054276627
530,Y10,3,reg2,Final_electricity,21916.66093293259
531,Y10,4,reg2,Final_electricity,23903.710552575663
532,Y10,5,reg2,Final_electricity,25402.12545737077
533,Y10,6,reg2,Final_electricity,28469.805730578242
534,Y10,7,reg2,Final_electricity,33720.09563453664
535,Y10,8,reg2,Final_electricity,24223.145973798266
536,Y10,9,reg2,Final_electricity,0.0
537,Y10,10,reg2,Final_electricity,0.0
538,Y10,11,reg2,Final_electricity,0.0
539,Y10,12,reg2,Final_electricity,0.0
540,Y10,13,reg2,Final_electricity,0.0
541,Y10,14,reg2,Final_electricity,0.0
542,Y10,15,reg2,Final_electricity,0.0
543,Y10,16,reg2,Final_electricity,0.0
544,Y10,17,reg2,Final_electricity,16667.93715371075
545,Y10,18,reg2,Final_electricity,40004.25489771255
546,Y10,19,reg2,Final_electricity,49323.5731058486
547,Y10,20,reg2,Final_electricity,51412.78847686414
548,Y10,21,reg2,Final_electricity,45082.883080747546
549,Y10,22,reg2,Final_electricity,31469.70992278422
550,Y10,23,reg2,Final_electricity,23526.825753306624
551,Y10,24,reg2,Final_electricity,23197.0179781758
552,Y11,1,reg2,Final_electricity,19645.457125270776
553,Y11,2,reg2,Final_electricity,21225.275747173873
554,Y11,3,reg2,Final_electricity,19757.514810963843
555,Y11,4,reg2,Final_electricity,21861.49451283583
556,Y11,5,reg2,Final_electricity,23474.889861015658
557,Y11,6,reg2,Final_electricity,26738.249419117292
558,Y11,7,reg2,Final_electricity,32018.62047012771
