,Year,Timesteps,From reg,To reg,Carrier,Value
8375,2019,24,reg3,reg1,Final_electricity,0.0
8376,2020,1,reg3,reg1,Final_electricity,0.0
8377,2020,2,reg3,reg1,Final_electricity,0.0
8378,2020,3,reg3,reg1,Final_electricity,0.0
8379,2020,4,reg3,reg1,Final_electricity,0.0
8380,2020,5,reg3,reg1,Final_electricity,0.0
8381,2020,6,reg3,reg1,Final_electricity,0.0
8382,2020,7,reg3,reg1,Final_electricity,0.0
8383,2020,8,reg3,reg1,Final_electricity,0.0
8384,2020,9,reg3,reg1,Final_electricity,0.0
8385,2020,10,reg3,reg1,Final_electricity,0.0
8386,2020,11,reg3,reg1,Final_electricity,0.0
8387,2020,12,reg3,reg1,Final_electricity,0.0
8388,2020,13,reg3,reg1,Final_electricity,0.0
8389,2020,14,reg3,reg1,Final_electricity,0.0
8390,2020,15,reg3,reg1,Final_electricity,0.0
8391,2020,16,reg3,reg1,Final_electricity,0.0
8392,2020,17,reg3,reg1,Final_electricity,0.0
8393,2020,18,reg3,reg1,Final_electricity,0.0
8394,2020,19,reg3,reg1,Final_electricity,0.0
8395,2020,20,reg3,reg1,Final_electricity,0.0
8396,2020,21,reg3,reg1,Final_electricity,0.0
8397,2020,22,reg3,reg1,Final_electricity,0.0
8398,2020,23,reg3,reg1,Final_electricity,0.0
8399,2020,24,reg3,reg1,Final_electricity,0.0
8400,2021,1,reg3,reg1,Final_electricity,0.0
8401,2021,2,reg3,reg1,Final_electricity,0.0
8402,2021,3,reg3,reg1,Final_electricity,0.0
8403,2021,4,reg3,reg1,Final_electricity,0.0
8404,2021,5,reg3,reg1,Final_electricity,0.0
8405,2021,6,reg3,reg1,Final_electricity,0.0
8406,2021,7,reg3,reg1,Final_electricity,0.0
8407,2021,8,reg3,reg1,Final_electricity,0.0
8408,2021,9,reg3,reg1,Final_electricity,0.0
8409,2021,10,reg3,reg1,Final_electricity,0.0
8410,2021,11,reg3,reg1,Final_electricity,0.0
8411,2021,12,reg3,reg1,Final_electricity,0.0
8412,2021,13,reg3,reg1,Final_electricity,0.0
8413,2021,14,reg3,reg1,Final_electricity,0.0
8414,2021,15,reg3,reg1,Final_electricity,0.0
8415,2021,16,reg3,reg1,Final_electricity,0.0
8416,2021,17,reg3,reg1,Final_electricity,0.0
8417,2021,18,reg3,reg1,Final_electricity,0.0
8418,2021,19,reg3,reg1,Final_electricity,0.0
8419,2021,20,reg3,reg1,Final_electricity,0.0
8420,2021,21,reg3,reg1,Final_electricity,0.0
8421,2021,22,reg3,reg1,Final_electricity,0.0
8422,2021,23,reg3,reg1,Final_electricity,0.0
8423,2021,24,reg3,reg1,Final_electricity,0.0
8424,2022,1,reg3,reg1,Final_electricity,0.0
8425,2022,2,reg3,reg1,Final_electricity,0.0
8426,2022,3,reg3,reg1,Final_electricity,0.0
8427,2022,4,reg3,reg1,Final_electricity,0.0
8428,2022,5,reg3,reg1,Final_electricity,0.0
8429,2022,6,reg3,reg1,Final_electricity,0.0
8430,2022,7,reg3,reg1,Final_electricity,0.0
8431,2022,8,reg3,reg1,Final_electricity,0.0
8432,2022,9,reg3,reg1,Final_electricity,0.0
8433,2022,10,reg3,reg1,Final_electricity,0.0
8434,2022,11,reg3,reg1,Final_electricity,0.0
